organizator;inn_organizatora;inn_primechanie;zakazchiki;inn_zakazchikov;predmet;summa;data_publikacii;region;stadiya;tip_procedury;sekciya;reestrovyy_nomer;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
"ООО ""НПП ""НЕФТЕХИМИЯ""";;нет в словаре площадки;"ООО ""НПП ""НЕФТЕХИМИЯ""";;ПИР. Замена центробежного вентилятора с электроприводом С-803;0.0;2023-09-13;Москва;completed;Запрос предложений;Закупки.Бизнес;ГП321831;https://etpgpb.ru/procedures/etp/839497-pir-zamena-tsentrobezhnogo-ventilyatora-s-elektroprivodom-s-803/;центробежный;да;центробежный+газовая машина;
АО РКЦ ПРОГРЕСС;;нет в словаре площадки;АО РКЦ ПРОГРЕСС;;Ремонт центробежного компрессора К-500-61-1;5494352.24;2022-02-24;Самарская область;completed;Запрос предложений в электронной форме для СМСП;Закупки.Бизнес223;32211162879;https://etpgpb.ru/procedures/etp/605493-remont-tsentrobezhnogo-kompressora-k-500-61-1/;компрессор+центробежный;да;центробежный+газовая машина;
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;"ООО ""МЕЧЕЛ-ЭНЕРГО""";;"Оказание услуг по капитальному ремонту   Центробежного компрессора К-250-61-5, экспл.№2 для нужд ОП ООО ""МЕЧЕЛ-ЭНЕРГО"" в г. Ижевск";2713662.0;2023-04-13;Челябинская область;completed;Попозиционная;Закупки.Бизнес223;32312288359;https://etpgpb.ru/procedures/etp/770860-okazanie-uslug-po-kapitalnomu-remontu-tsentrobezhnogo-kompressora-k-250-61-5-ekspl-2-dlya-nuzhd-op-ooo-mechel-energo-v-g-izhevsk/;компрессор+центробежный;да;центробежный+газовая машина;
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;"ООО ""МЕЧЕЛ-ЭНЕРГО""";;"Оказание услуг по  капитальному ремонту центробежного компрессора ЦК – 135/8М1  для нужд ОП ООО ""МЕЧЕЛ-ЭНЕРГО"" в г. Ижевск";7444360.8;2024-04-10;Челябинская область;completed;Попозиционная;Закупки.Бизнес223;32413489890;https://etpgpb.ru/procedures/etp/938917-okazanie-uslug-po-kapitalnomu-remontu-tsentrobezhnogo-kompressora-tsk-135-8m1-dlya-nuzhd-op-ooo-mechel-energo-v-g-izhevsk/;компрессор+центробежный;да;центробежный+газовая машина;
ОП ООО МЕЧЕЛ-ЭНЕРГО в г.Ижевск;7722245108;;"ООО ""МЕЧЕЛ-ЭНЕРГО""";;"Оказание услуг по по  капитальному ремонту центробежного компрессора ЦК – 135/8М1  для нужд ОП ООО ""МЕЧЕЛ-ЭНЕРГО"" в г. Ижевск";7734297.6;2024-02-20;Челябинская область;completed;Попозиционная;Закупки.Бизнес223;32413305336;https://etpgpb.ru/procedures/etp/913511-okazanie-uslug-po-po-kapitalnomu-remontu-tsentrobezhnogo-kompressora-tsk-135-8m1-dlya-nuzhd-op-ooo-mechel-energo-v-g-izhevsk/;компрессор+центробежный;да;центробежный+газовая машина;
Востокгазпром;7017005296;;Газпром метанол;7017156263;Право заключения договора на поставку запасных частей к центробежному компрессору пр-ва Elliot для нужд ООО «Сибметахим»;6830000.0;2015-05-18;Томская область;completed;Запрос предложений;Закупки ГК «Газпром»;31502361537;https://etpgpb.ru/procedures/gaz/36100-pravo-zaklyucheniya-dogovora-na-postavku-zapasnyh-chastey-k-tsentrobezhnomu-kompressoru-pr-va-elliot-dlya-nuzhd-ooo-sibmetahim/;компрессор+центробежный;да;центробежный+газовая машина;
АО УРАЛТУРБО;6659003244;;АО УРАЛТУРБО;6659003244;Вентилятор центробежный с электродвигателем;41300.0;2024-04-19;Свердловская область;completed;Ценовой запрос;Торговый портал;604201;https://etpgpb.ru/procedures/price_request/604201-ventilyator-tsentrobezhnyy-s-elektrodvigatelem/;центробежный;да;центробежный+газовая машина;
"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;;ТЮМЕНЬ ВОДОКАНАЛ;;КО-028-ТМЦ-ПП-21 Поставка центробежных вентиляторов Ebmpapst R3G630 (либо эквивалент) для нужд ООО «Тюмень Водоканал»;532075.65;2021-05-14;Тюменская область;completed;Попозиционная;Закупки.Бизнес223;32110278434;https://etpgpb.ru/procedures/etp/484330-ko-028-tmts-pp-21-postavka-tsentrobezhnyh-ventilyatorov-ebmpapst-r3g630-libo-ekvivalent-dlya-nuzhd-ooo-tyumen-vodokanal/;центробежный;да;центробежный+газовая машина;
АО Газпром закупки;2460040655;;ООО «Газпром трансгаз Югорск»;8622000931;"Выполнение НИОКР по теме ""Создание быстроходного центробежного газового компрессора с осевым входом природного газа"" для нужд ООО «Газпром трансгаз Югорск» 0079182";173042520.0;2021-11-20;Ханты-Мансийский автономный округ - Югра;completed;Конкурентный отбор;Закупки ГК «Газпром»;32110842342;https://etpgpb.ru/procedures/gaz/174508-vypolnenie-niokr-po-teme-sozdanie-bystrohodnogo-tsentrobezhnogo-gazovogo-kompressora-s-osevym-vhodom-prirodnogo-gaza-dlya-nuzhd-ooo-gazprom-transgaz-yugorsk-0079182/;компрессор+центробежный;да;центробежный+компрессор;
АО Томскнефть ВНК;7022000310;;АО Томскнефть ВНК;7022000310;Открытый двухэтапный конкурентный отбор на право заключения договора на выполнение работ по ревизии и балансировке роторов компрессоров центробежных RC9-8B, RC6S «Cooper-Bessemer»;0.0;2023-10-26;Томская область;commission;Конкурентный отбор;Закупки.Бизнес;АП056618;https://etpgpb.ru/procedures/etp/858997-otkrytyy-dvuhetapnyy-konkurentnyy-otbor-na-pravo-zaklyucheniya-dogovora-na-vypolnenie-rabot-po-revizii-i-balansirovke-rotorov-kompressorov-tsentrobezhnyh-rc9-8b-rc6s-cooper-bessemer/;компрессор+центробежный;да;центробежный+газовая машина;
АО РЭПХ;7806151791;;АО РЭПХ;7806151791;Открытый запрос предложений в электронной форме на  Выполнение работ по замене уплотнительного кольца торцевой крышки центробежного нагнетателя газоперекачивающих агрегатов (ГПА);;2019-05-13;Санкт-Петербург;completed;Запрос предложений;Закупки.Бизнес;ГП905548;https://etpgpb.ru/procedures/etp/233681-otkrytyy-zapros-predlozheniy-v-elektronnoy-forme-na-vypolnenie-rabot-po-zamene-uplotnitelnogo-koltsa-tortsevoy-kryshki-tsentrobezhnogo-nagnetatelya-gazoperekachivayuschih-agregatov-gpa/;нагнетатель+центробежный;да;"нагнетатель; центробежный+газовая машина";
ФГБОУ ВО КНИТУ;1655018804;;ФГБОУ ВО КНИТУ;1655018804;Поставка центробежного радиального вентилятора и воздуходувки;;2024-04-08;Республика Татарстан;completed;Ценовой запрос;Торговый портал;597875;https://etpgpb.ru/procedures/price_request/597875-postavka-tsentrobezhnogo-radialnogo-ventilyatora-i-vozduhoduvki/;центробежный+воздуходувка;да;воздуходувка;
АО РАТЕП;5043000212;;АО РАТЕП;5043000212;Открытый аукцион (на понижение) в электронной форме на право заключения договора купли-продажи вентиляторов центробежных взрывозащищенных.;109740.0;2015-02-25;Московская область;completed;Аукцион на понижение;Закупки.Бизнес223;ГП502520;https://etpgpb.ru/procedures/etp/20012-otkrytyy-auktsion-na-ponizhenie-v-elektronnoy-forme-na-pravo-zaklyucheniya-dogovora-kupli-prodazhi-ventilyatorov-tsentrobezhnyh-vzryvozaschischennyh/;центробежный;да;центробежный+газовая машина;
